시설물분류(대),시설물분류(중),시설물분류(소),공종분류(대),공종분류(중),위험발생객체분류(대),위험발생객체분류(중),위험발생위치분류(대),위험발생위치코드(중),위험발생위치분류(중),위험발생위치분류(소),작업프로세스명,물적피해,인적피해,사고원인,사고가능성,사고심각성,설계단계,시공단계
건축,건축물,교육연구시설,건축,철근콘크리트공사,건설자재,철근,내부,24,철근,바닥,조립작업,붕괴,깔림,철근 전도방지조치 미준수,M(2),H(4),철근 전도방지조치 상세도 작성,철근 작업발판 설치기준 작성 및 준수
건축,건축물,교육연구시설,건축,금속공사,건설자재,자재,내부,139,자재,고소,마감작업,없음,떨어짐(분류불능),천장틀 작업발판 미설치,M(2),H(4),고소 작업용 작업발판 상세도 작성,이동식틀비계 작업발판 설치도 작성 및 준수
건축,건축물,교육연구시설,건축,가설공사,건설기계,기중기(이동식크레인 등),외부,202,기중기(이동식크레인 등),상부(위),양중작업,전도,깔림,이동식크레인 설치기준 불량,M(2),H(4),이동식크레인 아웃트리거 상세도 작성,이동식크레인 설치기준 작성 및 준수
건축,건축물,교육연구시설,건축,지정공사,건설기계,항타 및 항발기,외부,204,항타 및 항발기,바닥,항타 및 항발작업,전도,깔림,항타기 지반 불량,M(2),H(4),항타기 전도방지조치 상세도 작성,차량계 건설기계 작업계획서 작성 및 준수
건축,건축물,교육연구시설,기타,기타,가시설,기타 가시설,내부,114,기타 가시설,상부(위),기타,붕괴,깔림,안전점검 미설시,M(2),H(4),건설기술진흥법 제63조에 따른 안전관리비를 간접공사비에 계상,안전관리계획서의 작성 및 검토 준수
토목,하천,배수펌프장,토목,가설공사,가시설,흙막이가시설,외부,3,흙막이가시설,상부(위),이동,낙하,떨어짐(분류불능),굴착구간 상부 추락방지 시설물 미비,M(3),M(3),근로자 추락 방지를 위한 안전난간 상세도 작성,안전난간 설치 시 안전난간 설치규정 준수
토목,하천,배수펌프장,토목,가설공사,건설자재,자재,내부,139,자재,하부(아래),설치작업,붕괴,깔림,품질 미확보된 재사용 자재 사용,M(3),H(4),재사용 자재 사용시 주의사항 명기,재사용 가설기자재 반입시 검수 및 품질관리 철저
토목,하천,배수펌프장,토목,가설공사,토사 및 암반,굴착사면,내부,217,굴착사면,하부(아래),굴착작업,붕괴,기타,굴착구간 우수 및 지하수 배제계획 미비,M(3),M(3),굴착구간 우수 및 지하수 배제계획 수립,우기시 안전상태 상시 점검
토목,하천,배수펌프장,토목,가설공사,가시설,버팀대,내부,71,버팀대,하부(아래),설치작업,붕괴,깔림,사보강 연결부 밀림,M(3),M(3),사보강재 연결부 L형강 등으로 보강위한 상세도 작성,상시 계측 등을 통한 변위 관찰
토목,하천,배수펌프장,토목,가설공사,가시설,안전시설물,내부,112,안전시설물,고소,설치작업,없음,떨어짐(분류불능),안전대 부착설비 미설치,M(3),M(3),안전대 부착설비 상세도 작성,2인 이상 작업시 각각의 안전대 부착설비 설치 및 사용
토목,하천,배수펌프장,토목,가설공사,가시설,흙막이가시설,내부,3,흙막이가시설,상부(위),이동,없음,떨어짐(분류불능),상하이동 위한 이동통로 미설치,M(3),M(3),상하 이동통로 상세도 작성,가설계단 설치기준 준수하여 설치 및 점검
토목,하천,배수펌프장,토목,가설공사,가시설,흙막이가시설,내부,3,흙막이가시설,하부(아래),설치작업,붕괴,깔림,흙막이 가시설 구조안전성 미확인,M(3),H(4),흙막이 가시설 구조안전성 확인,흙막이 가시설 설치 시 설계도서 준수
토목,하천,배수펌프장,토목,가설공사,건설기계,기중기(이동식크레인 등),인접주변,202,기중기(이동식크레인 등),바닥,양중작업,충돌,물체에 맞음,중량물 인양시 유도로프 미사용,H(4),M(3),중량물 인양시 유도로프 사용토록 설계도면에 표현,유도로프 사용시 샤클이 아닌 양중물에 설치하여 양중 및 로프 점검
토목,하천,배수펌프장,토목,가설공사,건설기계,기중기(이동식크레인 등),인접주변,202,기중기(이동식크레인 등),바닥,양중작업,전도,깔림,이동식 크레인 지지력 부족,M(3),H(4),이동식 크레인 지지력 검토 실시,와이어로프 하중 제한 검토 및 공사 중 와이어로프 상태 확인
토목,하천,배수펌프장,토목,철근콘크리트공사,건설자재,철근,외부,24,철근,바닥,조립작업,전도,깔림,격벽 시공시 철근 전도 방지조치 미흡,M(3),M(3),철근 전도 방지 조치 상세도 작성,벽체 거푸집 설치 및 배근 시 전도방지 조치 실시
토목,하천,배수펌프장,토목,철근콘크리트공사,부재,슬래브,외부,5,슬래브,옆,천공작업,낙하,떨어짐(분류불능),슬래브 천공 후 개구부 덮개 등 미조치 ,H(4),M(3),개구부 덮개 등 추락방지조치 상세도 작성,개구부 발생 즉시 덮개 등으로 추락방지조치 실시
토목,하천,배수펌프장,토목,토공사,토사 및 암반,굴착사면,내부,217,굴착사면,하부(아래),굴착작업,붕괴,깔림,굴착토사 굴착면 상단 적치,M(3),H(4),굴착토 발생시 단부로부터 일정거리만큼 이격되도록 설계도면에 명시,굴착시 안전수칙 준수
토목,하천,배수펌프장,토목,철근콘크리트공사,건설자재,자재,인접주변,139,자재,바닥,적재작업,전도,깔림,자재 적재불량,M(3),L(2),(해당없음),"시공계획서 작성시 자재의 적재 위치, 이동 및 적재 방법 등에 대한 방안 수립"
토목,하천,배수펌프장,토목,토공사,시설물,건물,인접주변,20,건물,바닥,굴착작업,붕괴,깔림,굴착시 임의작업,L(2),M(3),(해당없음),"인접 구조물 상태 확인하여 필요시 보강 후 굴착, 인력 굴착 등으로 안전한 굴착 실시"
토목,하천,배수펌프장,토목,철근콘크리트공사,건설기계,콘크리트펌프,내부,203,콘크리트펌프,상부(위),타설작업,붕괴,떨어짐(분류불능),콘크리트 타설시 근로자 임의 타설,L(2),M(3),(해당없음),타설 전 타설계획 수립 및 타설시 타설계획 준수
토목,하천,배수펌프장,토목,철근콘크리트공사,기타,기타,내부,999,기타,하부(아래),해체작업,붕괴,깔림,철거 작업시 임의 작업,L(2),M(3),(해당없음),철거 작업 전 안전관리계획 수립하여 관리감독 철저
토목,하천,배수펌프장,토목,관공사,건설기계,기중기(이동식크레인 등),인접주변,202,기중기(이동식크레인 등),바닥,양중작업,전도,깔림,이동식 크레인 점검기준 미준수,L(2),M(3),(해당없음),이동식 크레인 점검기준을 준수하여 중량물 인양작업 실시
토목,하천,배수펌프장,토목,가설공사,기타,기타,외부,999,기타,상부(위),고소작업,낙하,떨어짐(분류불능),작업허가제 미도입,M(3),L(2),(해당없음),작업허가제 도입으로 위험공종 작업 착수전 작업계획서 작성
토목,하천,배수펌프장,토목,가설공사,토사 및 암반,굴착사면,내부,217,굴착사면,하부(아래),굴착작업,붕괴,기타,우수유입 및 지하수 침투,L(2),M(3),(해당없음),시공시 현장여건에 맞는 우수유입 방지 상세 계획 수립
토목,하천,배수펌프장,토목,가설공사,건설기계,덤프트럭,인접주변,23,덤프트럭,뒤,운반작업,충돌,부딪힘,운전원의 운전미숙,M(3),L(2),(해당없음),"사전조사 및 작업계획서 작성, 후방카메라 설치 등 장비 충돌방지 조치"
토목,하천,배수펌프장,토목,가설공사,건설기계,항타 및 항발기,인접주변,204,항타 및 항발기,바닥,항타 및 항발작업,전도,깔림,항타기 작업시 지반상태 미확인,M(3),L(2),(해당없음),지반상태 확인 철저 및 필요시 재하시험 등으로 지반상태 확인 후 이동 및 작업
건축,건축물,근린생활시설,건축,가설공사,가시설,흙막이가시설,내부,3,흙막이가시설,상부(위),설치작업,붕괴,떨어짐(분류불능),안전성 미계산,M(3),H(4),흙막이 가시설 안전성 확인,흙막이공사에 대한 기술지원규정 준수
건축,건축물,근린생활시설,건축,가설공사,가시설,흙막이가시설,내부,3,흙막이가시설,고소,용접작업,없음,떨어짐(분류불능),추락방지 조치 미흡,M(3),H(4),띠장 상부 안전대 부착설비 설치,안전대 사용에 관한 기술지침 준수
건축,건축물,근린생활시설,건축,건축 토공사,토사 및 암반,굴착사면,인접주변,217,굴착사면,상부(위),굴착작업,없음,떨어짐(분류불능),추락방지 조치 미흡,M(3),H(4),굴착단부 안전난간 설치,안전대 사용에 관한 기술지침 준수
건축,건축물,근린생활시설,건축,건축 토공사,토사 및 암반,절토사면,인접주변,44,절토사면,하부(아래),굴착작업,붕괴,깔림,계측기 설치 미흡,H(4),H(4),굴착작업 시 지하수위계 설치 및 계측계획도면 작성 ,굴착공사 계측관리 기술지침 준수
건축,건축물,근린생활시설,건축,금속공사,건설자재,창호,내부,99,창호,상부(위),설치작업,낙하,물체에 맞음,설치상세도 미작성,H(4),M(3),경량철골 천장 설치 상세도 작성,경량철골 천장공사 안전보건작업 기술지침 준수
